original,translated
Burn of unspecified degree of wrist,Đốt cháy mức độ không xác định của cổ tay
Carcinoma in situ of other specified sites,Ung thư biểu mô tại chỗ của các trang web được chỉ định khác
"""Carcinoma in situ, site unspecified""","""Ung thư biểu mô tại chỗ, trang web không xác định"""
Carcinoma in situ of eye,Ung thư biểu mô tại chỗ
Calcaneal spur,Calcaneal thúc đẩy
Cardiac arrest,Tim ngừng đập
Other activity involving person providing caregiving,Các hoạt động khác liên quan đến người cung cấp dịch vụ chăm sóc
Celiac disease,Bệnh celiac
Cellulitis and abscess of unspecified sites,Viêm tế bào và áp xe của các vị trí không xác định
Centipede and venomous millipede (tropical) bite causing poisoning and toxic reactions,Bitedeede (nhiệt đới) rết (nhiệt đới) gây ngộ độc và phản ứng độc hại
Cerebral cysts,U nang não
Cerebral edema,Phù não
Other chest pain,Đau ngực khác
"""Chest pain, unspecified""","""Đau ngực, không xác định"""
Chondromalacia,Chondromalacia
Common truncus,Truncus phổ biến
"""Concussion, unspecified""","""Chấn động, không xác định"""
Cor biloculare,Cor Biloculare
Pannus (corneal),Pannus (giác mạc)
Counseling NOS,Tư vấn Nos
Crushing injury of neck,Chấn thương cổ
Cryptococcosis,Cryptococcosis
Cubitus valgus (acquired),Cubitus Valgus (có được)
Cyclosporiasis,Cyclosporia
Contact dermatitis and other eczema due to other specified agents,Viêm da tiếp xúc và bệnh chàm khác do các tác nhân được chỉ định khác
"""Contact dermatitis and other eczema, unspecified cause""","""Viêm da tiếp xúc và bệnh chàm khác, nguyên nhân không xác định"""
Other specified diphtheria,Bệnh bạch hầu được chỉ định khác
"""Diphtheria, unspecified""","""Bệnh bạch hầu, không xác định"""
Other dural tear,Khác dialal khác
Edema of penis,Phù dương vật
"""Erosion, limited to enamel""","""Xói mòn, giới hạn ở men răng"""
Fall from skis,Rơi từ ván trượt
"""Fall on same level from collision, pushing, or shoving, by or with other person in sports""","""Bị rơi ở cấp độ từ va chạm, đẩy hoặc xô đẩy, bằng hoặc với người khác trong thể thao"""
Accidental fall into well,Tình cờ rơi vào tốt
Fecal smearing,Phân
Other specified filariasis,Bệnh giun đũa được chỉ định khác
Unspecified filariasis,Bệnh giun đũa không xác định
Open fracture of cuboid,Mở gãy xương khối
Goniosynechiae,Goniosynechiae
Hallucinations,Ảo giác
Hallux malleus,Hallux Malleus
Hallux rigidus,Hallux Rigidus
"""Other hamartoses, not elsewhere classified""","""Các hamartoses khác, không phải nơi nào khác được phân loại"""
Hemangioma of other sites,Hemangioma của các trang web khác
Hemangioma of unspecified site,Hemangioma của trang web không xác định
Hemoglobinuria,Huyết sắc tố
Hemoperitoneum (nontraumatic),Hemoperitoneum (không mắc bệnh)
Other hemoptysis,Hemoptysis khác
"""Hemoptysis, unspecified""","""Hemoptysis, không xác định"""
"""Hemorrhage, unspecified""","""Xuất huyết, không xác định"""
Heterophyiasis,Bệnh dị hóa
Human immunodeficiency virus (HIV) counseling,Tư vấn virus gây suy giảm miễn dịch ở người (HIV)
Personal history of neurosis,Tiền sử cá nhân về bệnh thần kinh
"""Other allergy, other than to medicinal agents""","""Dị ứng khác, ngoài các tác nhân thuốc"""
Personal history of (corrected) hypospadias,Lịch sử cá nhân của Hypospadias (sửa)
Hydronephrosis,Hydronephrosis
Hymenolepiasis,Bệnh màng trinh
Hypopotassemia,Hạ kali máu
Hypopyon ulcer,Lớp loét hypopyon
Immersion foot,Đun chân
Ingrowing nail,Móng tay
Suicide and self-inflicted injury by handgun,Tự tử và thương tích tự gây ra bằng súng ngắn
Suicide and self-inflicted injury by hanging,Tự tử và thương tích tự gây ra bằng cách treo
Suicide and self-inflicted injury by shotgun,Tự tử và thương tích tự do của Shotgun
Exposure to lasers,Tiếp xúc với laser
Leukodystrophy,Leukodystrophy
Lichen nitidus,Địa y nitidus
Loss of height,Mất chiều cao
"""Meningitis, unspecified""","""Viêm màng não, không xác định"""
Metagonimiasis,Metagonimias
Unspecified monoplegia,Monoplegia không xác định
Mooren's ulcer,Loét của Mooren
Morbid obesity,Béo phì bệnh hoạn
Mumps orchitis,Băng qua viêm màng cứng
Other myelopathy,Bệnh tủy khác
Other myopathies,Bệnh cơ khác
Kernicterus of fetus or newborn not due to isoimmunization,Kernicterus của thai nhi hoặc trẻ sơ sinh không phải do isoimmunization
Onchocerciasis,Onchocercciasis
Onychia and paronychia of toe,Onychia và paronychia của ngón chân
"""Ornithosis, unspecified""","""Ornithosis, không xác định"""
Other air leak,Rò rỉ không khí khác
Paragonimiasis,Paragonimias
Paraplegia,Paraplegia
Parvovirus B19,Parvovirus B19
Pasteurellosis,Pasteurellosis
Pelvic varices,Viễn chà chậu
"""Petrositis, unspecified""","""Viêm Petros, không xác định"""
Photokeratitis,Viêm quang tử
Phthirus pubis [pubic louse],Phthirus Pubis [Louse Pubic]
Pick's disease,Chọn bệnh
Plica syndrome,Hội chứng PLICA
Pneumocystosis,Pneumocystosis
Suicide and self-inflicted poisoning by arsenic and its compounds,Tự tử và ngộ độc tự do bởi asen và các hợp chất của nó
Postnasal drip,Nhỏ giọt sau
Contact with or exposure to rabies,Liên hệ với hoặc tiếp xúc với bệnh dại
Radicular cyst,U nang X quang
Encounter for removal of intrauterine contraceptive device,Cuộc gặp gỡ để loại bỏ thiết bị tránh thai trong tử cung
Renal agenesis and dysgenesis,Idesis thận và rối loạn phát sinh
Retained tooth,Răng giữ lại
Rhabdomyolysis,Rhabdomyolysis
"""Rheumatism, unspecified and fibrositis""","""Thấp khớp, không xác định và viêm xơ"""
Rickettsialpox,Rickettsialpox
Scorpion sting causing poisoning and toxic reactions,Sting Scorpion gây ngộ độc và phản ứng độc hại
Sebaceous cyst,U nang bã nhờn
Septate uterus,Tử cung
Other specified septicemias,Vách máu được chỉ định khác
Unspecified septicemia,Không xác định nhiễm trùng máu
Sialolithiasis,Sialolithia
Sicca syndrome,Hội chứng SICCA
Situs inversus,Situs inversus
Sporotrichosis,Sporotrichosis
Spotted fevers,Phân tích sốt
Sprain of neck,Bong gân cổ
Sprain of ribs,Bong gân xương sườn
Sweating fever,Sốt đổ mồ hôi
Tabes dorsalis,Tabes dorsalis
Talipes valgus,Talipes Valgus
Toxic cataract,Đục thủy tinh thể độc hại
Toxic erythema,Ban đỏ độc hại
Toxic myelitis,Viêm tủy độc hại
Toxic myopathy,Bệnh cơ độc hại
Trigger finger (acquired),Trigger Finger (có được)
Tropical sprue,Vùng nhiệt đới
Ulcer of ankle,Loét của mắt cá chân
Ulcer of thigh,Loét của đùi
Other urethritis,Viêm niệu đạo khác
"""Urethritis, unspecified""","""Viêm niệu đạo, không xác định"""
Vomiting alone,Nôn một mình
Vulval varices,Khác nhau âm hộ
"""Vulvodynia, unspecified""","""Âm hộ, không xác định"""
Injury due to war operations by mortar,Chấn thương do hoạt động chiến tranh của vữa
Wound botulism,Vết thương độc hại
Abnormal reflex,Phản xạ bất thường
Abnormal sputum,Đờm bất thường
"""Abrasion or friction burn of finger(s), without mention of infection""","""Mài mòn hoặc đốt ma sát của ngón tay, mà không đề cập đến nhiễm trùng"""
"""Abrasion, limited to enamel""","""Mài mòn, giới hạn trong men"""
Abscess of lung,Áp xe phổi
Accidental poisoning by meat,Ngộ độc tình cờ bằng thịt
Acoustic trauma (explosive) to ear,Chấn thương âm thanh (nổ) đến tai
Acquired equinovarus deformity,Có được biến dạng Equinovarus
Emetics causing adverse effects in therapeutic use,Emetic gây ra tác dụng phụ trong sử dụng điều trị
Other opiates and related narcotics causing adverse effects in therapeutic use,Các loại thuốc phiện khác và ma túy liên quan gây ra tác dụng phụ trong sử dụng điều trị
Alopecia areata,Alopecia areata
Other amyloidosis,Amyloidosis khác
"""Amyloidosis, unspecified""","""Amyloidosis, không xác định"""
Other specified ancylostoma,Ancylostoma được chỉ định khác
Bite of other animal except arthropod,Cắn động vật khác ngoại trừ arthropod
Bite by unspecified animal,Cắn bởi động vật không xác định
Other activity involving animal care,Hoạt động khác liên quan đến chăm sóc động vật
"""Ankylosis of joint, ankle and foot""","""Ankylosis của khớp, mắt cá chân và bàn chân"""
Ariboflavinosis,Ariboflavinosis
Assault by handgun,Tấn công bằng súng ngắn
Assault by shotgun,Tấn công bằng súng ngắn
"""Astigmatism, unspecified""","""Astigmatism, không xác định"""
Avulsion of eye,Hấp dẫn của mắt
Balanoposthitis,Viêm balanoposth
Biliary atresia,Atresia đường mật
"""Blepharitis, unspecified""","""Viêm xoáy, không xác định"""
"""Blister of elbow, forearm, and wrist, without mention of infection""","""Vụ vỉ khuỷu tay, cẳng tay và cổ tay, mà không đề cập đến nhiễm trùng"""
Other blood donors,Các nhà tài trợ máu khác
Brill's disease,Bệnh Brill
Other brucellosis,BRUCELLOSIS KHÁC
"""Brucellosis, unspecified""","""Brucellosis, không xác định"""
Bulimia nervosa,Bulimia neurosa
"""Buphthalmos, unspecified""","""Buphthalmos, không xác định"""
Burn of unspecified degree of axilla,Ghi mức độ nách không xác định
Burn of unspecified degree of breast,Đốt cháy mức độ không xác định của vú
Burn of unspecified degree of single digit (finger (nail) other than thumb,Ghi mức độ không xác định của một chữ số đơn (ngón tay (móng tay) khác với ngón tay cái
"""Other ganglion and cyst of synovium, tendon, and bursa""","""Ganglion và u nang khác của synovium, gân và bursa"""
Caisson disease,Bệnh Caisson
Cauliflower ear,Tai súp lơ
Scotoma involving central area,Scotoma liên quan đến khu vực trung tâm
"""Child abuse, unspecified""","""Lạm dụng trẻ em, không xác định"""
"""Perpetrator of child and adult abuse, by unspecified person""","""Thủ phạm của lạm dụng trẻ em và người lớn, bởi người không xác định"""
Choanal atresia,Choanal Atresia
Carrier or suspected carrier of cholera,Người vận chuyển hoặc nghi ngờ vận chuyển dịch tả
Contact with or exposure to cholera,Liên hệ với hoặc tiếp xúc với dịch tả
Intracranial and intraspinal abscess of unspecified site,Áp xe nội sọ và nội sọ của vị trí không xác định
Conjoined twins,Cặp song sinh dính liền
Conn's syndrome,Hội chứng Conn
Other convulsions,Co giật khác
Cor triatriatum,Cor Triatriatum
Corneal abscess,Áp xe giác mạc
Corneal ectasia,Chu tinh giác mạc
Cryptophthalmos,Cryptophthalmos
Cyst of thyroid,U nang tuyến giáp
Disseminated due to other mycobacteria,Phổ biến do vi khuẩn khác
"""Delayed hemolytic transfusion reaction, incompatibility unspecified""","""Phản ứng truyền máu trì hoãn, không tương thích không xác định"""
Dermatochalasis,Dermatochalocation
Dermatomyositis,Viêm da liễu
Accident from diving or jumping into water [swimming pool],Tai nạn khi lặn hoặc nhảy xuống nước [bể bơi]
Down's syndrome,Hội chứng xuống
Drug withdrawal,Rút thuốc
Unspecified anomaly of ear,Sự bất thường không xác định của tai
Edema of eyelid,Phù của mí mắt
Edema of larynx,Phù của thanh quản
"""Erosion, extending into dentine""","""Xói mòn, kéo dài vào ngà răng"""
Erythromelalgia,Erythromelalgia
Evans' syndrome,Hội chứng Evans
Unspecified examination,Kiểm tra không xác định
Unspecified anomaly of eye,Sự bất thường không xác định của mắt
Foreign body accidentally entering eye and adnexa,Cơ thể nước ngoài vô tình đi vào mắt và adnexa
"""Other late effects of cerebrovascular disease, facial weakness""","""Những ảnh hưởng muộn khác của bệnh mạch máu não, yếu mặt"""
Facial weakness,Điểm yếu ở khuôn mặt
Accidental fall from chair,Tình cờ rơi khỏi ghế
Accidental fall from cliff,Tình cờ rơi từ vách đá
Fasciolopsiasis,Xiêm fasciolops
Fecal impaction,Bất lực phân
Feeding difficulties and mismanagement,Khó khăn trong việc cho ăn và quản lý sai
Fundus coloboma,Fundus coloboma
Gallstone ileus,Gallstone Ileus
General paresis,Paresis chung
Genu recurvatum (acquired),Recurvatum chính hãng (có được)
Gnathostomiasis,Gnathostomiasis
Gross hematuria,Gộp tiểu máu
Elective hair transplant for purposes other than remedying health states,Ghép tóc tự chọn cho các mục đích khác ngoài việc khắc phục các trạng thái sức khỏe
"""Hand, except finger injury""","""Tay, ngoại trừ chấn thương ngón tay"""
"""Head injury, unspecified""","""Chấn thương đầu, không xác định"""
Other specified heat effects,Các hiệu ứng nhiệt được chỉ định khác
Unspecified effects of heat and light,Hiệu ứng không xác định của nhiệt và ánh sáng
Hemangioma of skin and subcutaneous tissue,Hemangioma của da và mô dưới da
Hemopericardium,Hemopericardium
Unspecified hemorrhoids without mention of complication,Bệnh trĩ không xác định mà không đề cập đến biến chứng
Personal history of other specified diseases,Tiền sử cá nhân của các bệnh được chỉ định khác
Personal history of arthritis,Tiền sử cá nhân của viêm khớp
"""Personal history of poisoning, presenting hazards to health""","""Lịch sử cá nhân về ngộ độc, trình bày các mối nguy hiểm cho sức khỏe"""
Allergy to eggs,Dị ứng với trứng
Hypercementosis,Tăng huyết áp
Hyperosmolality and/or hypernatremia,Tăng huyết áp và/hoặc tăng natri máu
Hyperpotassemia,Hyperpotassemia
"""Hypersomnia, unspecified""","""Hypersomnia, không xác định"""
Hypnic headache,Nhức đầu thôi miên
Hypochondriasis,Bệnh hypochondric
Other specified hypotension,Hạ huyết áp được chỉ định khác
